dataset,heuristic,model,method,optimization,prefix_length,idx,desired_nr_of_cfs,generated_cfs,time_train,time_test,runtime,distance_l2,distance_mad,distance_j,distance_h,distance_l1j,distance_l2j,distance_mh,distance_l2_min,distance_mad_min,distance_j_min,distance_h_min,distance_l1j_min,distance_l2j_min,distance_mh_min,distance_l2_max,distance_mad_max,distance_j_max,distance_h_max,distance_l1j_max,distance_l2j_max,distance_mh_max,diversity_l2,diversity_mad,diversity_j,diversity_h,diversity_l2j,diversity_mh,diversity_l2_min,diversity_mad_min,diversity_j_min,diversity_h_min,diversity_l2j_min,diversity_mh_min,diversity_l2_max,diversity_mad_max,diversity_j_max,diversity_h_max,diversity_l2j_max,diversity_mh_max,count_diversity_cont,count_diversity_cate,count_diversity_all,avg_nbr_changes_per_cf,avg_nbr_changes,implausibility_sum,implausibility_max_nbr_cf,implausibility_nbr_cf,sat_score
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,xgboost,genetic_ltlf,baseline,20,2,5,5,0.032289,5.602929,5.635217999999999,0.0,0.0,0.03,0.13,0.0285714285714285,0.0285714285714285,0.1238095238095238,0.0,0.0,0.0,0.05,0.0,0.0,0.0476190476190476,0.0,0.0,0.1,0.3,0.0952380952380952,0.0952380952380952,0.2857142857142857,0.0,0.0,0.0502631578947368,0.19,0.0478696741854636,0.1809523809523809,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.1,0.35,0.0952380952380952,0.3333333333333333,0.0,0.0361904761904761,0.0361904761904761,1.3,0.0619047619047619,1.9,0.38,0.38,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,xgboost,genetic_ltlf,baseline,20,2,10,10,0.032289,9.989426,10.021715,0.0,0.0,0.135,0.3,0.1285714285714286,0.1285714285714286,0.2857142857142857,0.0,0.0,0.0,0.05,0.0,0.0,0.0476190476190476,0.0,0.0,0.35,0.5,0.3333333333333333,0.3333333333333333,0.4761904761904761,0.0,0.0,0.2303593815693919,0.4366666666666667,0.2193898872089446,0.4158730158730159,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.5,0.7,0.4761904761904761,0.6666666666666666,0.0,0.0935714285714285,0.0935714285714285,3.0,0.1428571428571428,5.0,0.5,0.5,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,xgboost,genetic_ltlf,baseline,20,2,15,15,0.032289,14.831597,14.863886,0.0,0.0,0.0533333333333333,0.1766666666666666,0.0507936507936507,0.0507936507936507,0.1682539682539682,0.0,0.0,0.0,0.05,0.0,0.0,0.0476190476190476,0.0,0.0,0.15,0.3,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.0,0.0,0.0978195488721804,0.2476190476190476,0.0931614751163623,0.2358276643990929,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.3,0.5,0.2857142857142857,0.4761904761904761,0.0,0.055026455026455,0.055026455026455,1.7666666666666666,0.0841269841269841,6.25,0.4166666666666667,0.4166666666666667,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,xgboost,genetic_ltlf,baseline,20,2,20,20,0.032289,148.182386,148.214675,0.0,0.0,0.0605263157894736,0.2289473684210526,0.0576441102756892,0.0576441102756892,0.2180451127819548,0.0,0.0,0.0,0.05,0.0,0.0,0.0476190476190476,0.0,0.0,0.15,0.35,0.1428571428571428,0.1428571428571428,0.3333333333333333,0.0,0.0,0.1060941828254847,0.3184210526315789,0.101042078881414,0.3032581453634085,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.25,0.6,0.238095238095238,0.5714285714285714,0.0,0.0718242975860704,0.0718242975860704,2.289473684210526,0.1090225563909774,8.750000000000002,0.4375000000000001,0.4605263157894738,1.0
bpic2012_O_ACCEPTED-COMPLETE,mar,xgboost,genetic_ltlf,baseline,20,1,5,5,0.032234,635.019719,635.051953,0.0,0.0,0.0,0.4,0.0,0.0,0.3809523809523809,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.0,0.85,0.0,0.0,0.8095238095238094,0.0,0.0,0.0,0.6250000000000001,0.0,0.5952380952380953,0.0,0.0,0.0,0.2,0.0,0.1904761904761904,0.0,0.0,0.0,0.85,0.0,0.8095238095238094,0.0,0.1116071428571428,0.1116071428571428,4.0,0.1904761904761904,1.6,0.32,0.4,1.0
bpic2012_O_ACCEPTED-COMPLETE,mar,xgboost,genetic_ltlf,baseline,20,1,10,10,0.032234,1175.988019,1176.020253,0.0,0.0,0.0,0.3555555555555555,0.0,0.0,0.3386243386243386,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.0,0.85,0.0,0.0,0.8095238095238094,0.0,0.0,0.0,0.525,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.0,0.85,0.0,0.8095238095238094,0.0,0.1111111111111111,0.1111111111111111,3.555555555555556,0.1693121693121693,3.2,0.32,0.3555555555555555,1.0
bpic2012_O_ACCEPTED-COMPLETE,mar,xgboost,genetic_ltlf,baseline,20,1,15,15,0.032234,1024.713827,1024.746061,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.1360544217687074,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.0,0.15,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.1428571428571428,0.0,0.1360544217687074,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.0,0.25,0.0,0.238095238095238,0.0,0.031584062196307,0.031584062196307,1.4285714285714286,0.0680272108843537,2.0,0.1333333333333333,0.1428571428571428,1.0
bpic2012_O_ACCEPTED-COMPLETE,mar,xgboost,genetic_ltlf,baseline,20,1,20,20,0.032234,1426.876076,1426.90831,0.0,0.0,0.0,0.2416666666666666,0.0,0.0,0.2301587301587301,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.0,0.8,0.0,0.0,0.7619047619047619,0.0,0.0,0.0,0.3248366013071895,0.0,0.3093681917211328,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.0,0.8,0.0,0.7619047619047619,0.0,0.0730452674897119,0.0730452674897119,2.4166666666666665,0.115079365079365,4.35,0.2174999999999999,0.2416666666666666,1.0
bpic2012_O_ACCEPTED-COMPLETE,mar,xgboost,genetic_ltlf,baseline,20,2,5,5,0.032234,639.597905,639.630139,0.0,0.0,0.0,0.175,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.05,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.55,0.0,0.0,0.5238095238095238,0.0,0.0,0.0,0.3,0.0,0.2857142857142857,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.0,0.55,0.0,0.5238095238095238,0.0,0.0535714285714285,0.0535714285714285,1.75,0.0833333333333333,1.6,0.3199999999999999,0.3999999999999999,1.0
bpic2012_O_ACCEPTED-COMPLETE,mar,xgboost,genetic_ltlf,baseline,20,2,10,10,0.032234,1599.304396,1599.33663,0.0,0.0,0.0,0.4277777777777777,0.0,0.0,0.4074074074074074,0.0,0.0,0.0,0.05,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.8,0.0,0.0,0.7619047619047619,0.0,0.0,0.0,0.6180555555555556,0.0,0.5886243386243386,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.0,0.9,0.0,0.8571428571428571,0.0,0.1308054085831863,0.1308054085831863,4.277777777777778,0.2037037037037037,5.15,0.5149999999999999,0.5722222222222222,0.5555555555555556
